Keywords	Search Volume (Average)	Search Volume (Feb 2019)	Search Volume (Mar 2019)	Search Volume (Apr 2019)	Search Volume (May 2019)	Search Volume (Jun 2019)	Search Volume (Jul 2019)	Search Volume (Aug 2019)	Search Volume (Sep 2019)	Search Volume (Oct 2019)	Search Volume (Nov 2019)	Search Volume (Dec 2019)	Search Volume (Jan 2020)	Trend	total_volume
bolsas ecologicas de tela	10.0	0.0	0.0	0.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	40.0
eco friendly shopping bags	10.0	10.0	10.0	10.0	20.0	10.0	20.0	20.0	10.0	10.0	10.0	10.0	10.0	0.0	160.0
reuse it store	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	-100.0	20.0
reuseit	10.0	10.0	10.0	10.0	10.0	10.0	0.0	10.0	0.0	0.0	10.0	10.0	10.0	0.0	100.0
reusable tampons	10.0	10.0	10.0	20.0	10.0	20.0	10.0	20.0	20.0	10.0	10.0	10.0	20.0	100.0	180.0
reuso	10.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	10.0	0.0	90.0
materials used in construction	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	20.0	10.0	10.0	10.0	10.0	0.0	150.0
donde comprar bolsas ecologicas	10.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
reusable menstrual products	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	10.0	10.0	10.0	10.0	0.0	-100.0	130.0
reusable water pouch	10.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	30.0
edmonton recycling	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	20.0
edmonton salvage	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	20.0
bolsas ecologicas	10.0	0.0	10.0	10.0	0.0	10.0	0.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	100.0
eco friendly lunch bag	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	10.0	10.0	10.0	10.0	0.0	140.0
reutilizar	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	130.0
plastic	3600.0	3600.0	3600.0	3600.0	3600.0	4400.0	3600.0	3600.0	2900.0	2900.0	2900.0	2400.0	2900.0	-19.0	43600.0
pollution	1600.0	1600.0	1900.0	2400.0	1900.0	1300.0	2400.0	1900.0	1900.0	1600.0	1600.0	880.0	1300.0	-19.0	22280.0
biodegradable plastic	1000.0	720.0	1000.0	1000.0	1000.0	880.0	1300.0	1000.0	1300.0	1000.0	880.0	590.0	880.0	22.0	12550.0
coalition	1000.0	880.0	1300.0	1300.0	1300.0	880.0	880.0	1000.0	1300.0	1300.0	1300.0	720.0	1000.0	14.0	14160.0
plastic recycling	880.0	720.0	880.0	1000.0	1000.0	880.0	1000.0	880.0	1000.0	1000.0	880.0	590.0	880.0	22.0	11590.0
plastic pollution	880.0	880.0	1000.0	1000.0	880.0	880.0	1300.0	1000.0	1000.0	1000.0	880.0	480.0	720.0	-18.0	11900.0
plastic waste	720.0	720.0	720.0	880.0	1000.0	590.0	880.0	590.0	720.0	720.0	590.0	320.0	720.0	0.0	9170.0
plastic packaging	320.0	260.0	320.0	320.0	320.0	210.0	390.0	320.0	390.0	390.0	260.0	210.0	260.0	0.0	3970.0
