,Category,Stage,Avg,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,total
232,Alternatives for SUPs,Action,10,10,10,10,0,10,10,10,10,20,30,20,10,160
233,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
234,Alternatives for SUPs,Action,10,0,0,0,10,10,0,10,0,0,10,0,10,60
235,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,20,10,20,10,150
236,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,20,10,20,10,150
237,Alternatives for SUPs,Action,10,10,10,10,10,10,10,20,10,10,10,10,0,130
238,Alternatives for SUPs,Action,10,10,0,10,0,0,0,10,0,0,10,0,0,50
239,Alternatives for SUPs,Action,10,0,0,0,0,10,10,0,0,10,0,10,10,60
240,Alternatives for SUPs,Action,10,0,0,10,0,0,10,10,0,0,0,10,0,50
241,Alternatives for SUPs,Action,10,0,0,0,0,0,10,0,0,0,0,0,0,20
242,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,10,0,20
243,Alternatives for SUPs,Action,10,0,0,0,10,10,0,0,10,0,0,0,0,40
244,Alternatives for SUPs,Action,10,0,10,10,10,0,10,10,10,10,0,0,0,80
245,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,0,10,0,0,0,30
246,Alternatives for SUPs,Action,90,50,70,90,90,90,110,70,110,110,90,110,70,1150
247,Alternatives for SUPs,Action,10,10,0,10,0,10,0,0,10,0,0,0,10,60
248,Alternatives for SUPs,Action,10,0,0,0,10,0,0,0,0,10,10,10,0,50
249,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,10,0,0,0,10,40
250,Alternatives for SUPs,Action,10,0,0,10,0,0,0,0,0,0,0,0,10,30
251,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,0,10,120
252,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,0,10,0,0,0,90
253,Alternatives for SUPs,Action,10,0,0,10,0,0,0,10,10,10,0,10,10,70
254,Alternatives for SUPs,Action,10,10,10,10,10,10,20,10,10,10,10,10,10,140
255,Alternatives for SUPs,Action,10,0,0,10,0,0,0,0,0,0,0,0,0,20
256,Alternatives for SUPs,Action,10,0,10,10,0,0,0,10,0,0,0,10,10,60
257,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
258,Alternatives for SUPs,Action,10,0,0,0,10,0,10,10,10,0,0,0,0,50
259,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,10,0,0,20
260,Alternatives for SUPs,Action,10,10,10,10,0,0,0,0,0,0,0,0,10,50
261,Alternatives for SUPs,Action,10,0,10,10,10,10,0,0,10,10,10,10,10,100
262,Alternatives for SUPs,Action,10,0,10,0,0,0,0,0,0,10,0,0,0,30
263,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,0,0,0,0,0,20
264,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
265,Alternatives for SUPs,Action,10,0,0,10,20,10,10,10,10,10,10,10,0,110
266,Alternatives for SUPs,Action,10,10,10,10,10,10,0,10,10,10,10,10,10,120
267,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,20,10,10,10,140
268,Alternatives for SUPs,Action,30,10,20,10,10,20,20,30,50,40,40,20,20,320
269,Alternatives for SUPs,Action,110,50,50,70,50,110,140,90,140,110,170,170,140,1400
270,Alternatives for SUPs,Action,10,10,10,0,0,10,10,0,10,0,0,10,10,80
271,Alternatives for SUPs,Action,50,30,40,50,70,50,40,50,110,30,30,50,30,630
272,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,0,10,0,10,10,50
273,Alternatives for SUPs,Action,10,0,0,10,0,10,0,0,0,0,10,10,0,50
274,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,10,10,10,130
275,Alternatives for SUPs,Action,20,10,10,10,10,30,30,10,30,40,30,20,10,260
284,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,10,0,0,0,0,20
285,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,20,10,10,140
294,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,10,0,20
322,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,0,10,20
333,Alternatives for SUPs,Action,10,0,10,0,10,0,10,0,10,10,10,0,10,80
334,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,10,10,0,0,0,30
382,Alternatives for SUPs,Action,10,0,0,0,10,0,10,0,0,10,0,10,10,60
392,Alternatives for SUPs,Action,10,0,0,10,10,0,10,10,10,10,10,10,10,100
410,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,10,10,0,0,10,40
423,Alternatives for SUPs,Action,10,10,10,10,10,10,10,10,10,10,20,10,10,140
442,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,10,10,0,10,10,60
443,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,10,0,10,0,0,40
444,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,0,0,0,10,20
447,Alternatives for SUPs,Action,10,0,0,0,0,10,0,0,0,10,0,0,0,30
460,Alternatives for SUPs,Action,10,10,10,0,0,0,0,0,0,0,10,0,0,40
472,Alternatives for SUPs,Action,10,0,0,0,0,0,0,0,0,10,0,0,10,30
62,Alternatives for SUPs,Action,10,0,0,0,0,0,0,10,10,0,0,0,10,40
63,Alternatives for SUPs,Action,10,0,0,0,10,0,0,10,10,10,0,0,0,50
12,Ban SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,10,10,130
22,Ban SUPs,Consideration,10,0,0,0,0,0,10,10,0,0,0,0,0,30
23,Ban SUPs,Consideration,10,0,0,0,0,0,0,0,0,10,0,0,0,20
50,Ban SUPs,Consideration,10,0,0,0,0,0,10,0,0,10,10,10,0,50
276,Ban SUPs,Consideration,10,0,0,0,0,0,0,0,0,0,10,0,0,20
277,Ban SUPs,Consideration,10,10,0,10,10,0,10,10,0,10,10,10,10,100
278,Ban SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,0,0,0,20
279,Ban SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,0,0,0,20
280,Ban SUPs,Consideration,10,0,0,0,10,0,10,0,0,10,10,0,10,60
292,Ban SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,0,10,120
